epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0311,3.221,4.07767,2.30946,0.0091,0.01689,0.00522,0.0014,2.80775,3.96941,2.15788,4.287e-05,4.287e-05,4.287e-05
2,62.2348,2.96128,4.01165,2.1146,0.00985,0.01819,0.00847,0.00186,2.62886,3.99799,2.10624,9.80494e-05,9.80494e-05,9.80494e-05
3,91.1084,2.93144,3.87074,1.8965,0.01893,0.03759,0.01773,0.00465,2.67491,3.977,2.16697,0.000150965,0.000150965,0.000150965
4,121.652,2.63387,3.66505,1.77863,0.0538,0.12846,0.05482,0.01218,2.83053,3.93697,2.3545,0.000201618,0.000201618,0.000201618
5,148.941,2.54585,3.29921,1.78494,0.07482,0.1873,0.09689,0.02647,2.9275,3.89335,2.48937,0.000250006,0.000250006,0.000250006
6,176.919,2.4591,3.02436,1.66056,0.11344,0.30291,0.23478,0.08162,2.88528,3.81112,2.47433,0.000296132,0.000296132,0.000296132
7,207.241,2.35373,2.88912,1.53058,0.12092,0.34022,0.26635,0.09375,2.78272,3.69093,2.28345,0.000339993,0.000339993,0.000339993
8,237.789,2.49703,2.75286,1.57267,0.1529,0.41347,0.33912,0.11712,2.68175,3.53124,2.05139,0.000381592,0.000381592,0.000381592
9,267.235,2.52496,2.43969,1.53057,0.23259,0.49178,0.43484,0.14657,2.63865,3.44917,2.03529,0.000420926,0.000420926,0.000420926
10,298.04,2.35789,2.23969,1.46242,0.26446,0.49265,0.43191,0.15153,2.72115,3.4263,2.21769,0.000457997,0.000457997,0.000457997
11,328.697,2.50205,2.27966,1.53039,0.70984,0.38131,0.45731,0.17389,2.72207,3.17448,2.2909,0.000492805,0.000492805,0.000492805
12,358.255,2.34496,1.97882,1.47575,0.65383,0.41795,0.48881,0.19751,2.65361,2.98707,2.17075,0.000525349,0.000525349,0.000525349
13,386.47,2.22853,1.7087,1.45133,0.55083,0.44844,0.40499,0.1412,2.73415,2.98423,2.20665,0.000555629,0.000555629,0.000555629
14,416.221,2.39021,2.0047,1.52356,0.58326,0.4737,0.44476,0.17613,2.60289,2.85467,2.10387,0.000583646,0.000583646,0.000583646
15,444.377,2.22692,1.79143,1.44725,0.63957,0.56604,0.55321,0.24612,2.29723,2.37738,1.78071,0.0006094,0.0006094,0.0006094
16,472.559,2.39079,1.80239,1.46676,0.65399,0.59532,0.5921,0.26541,2.22473,2.18031,1.68358,0.00063289,0.00063289,0.00063289
